ID,SchoolCode,SchoolName,Address,City,StateCode,ZipCode,Province,Country,PostalCode
26156,E00926,KAPLAN UNIVERSITY - MASON CITY,PLAZA WEST,MASON CITY,IA,50401,,,
26157,E00928,UTAH CLG OF MASSAGE THERAPY-NSMT,2381 E. WINDMILL LN  SUITE 14,LAS VEGAS,NV,89123,,,
26158,E00931,HARRISON COLLEGE - FORT WAYNE,6413 N. CLINTON STREET,FORT WAYNE,IN,46825,,,
26159,E00933,RASMUSSEN COLLEGE - NEW PORT RICHEY,2127 GRAND BOULEVARD,HOLIDAY,FL,34690,,,
26160,E00935,HILL COLLEGE,2112 MAYFIELD PARKWAY,CLEBURNE,TX,76031,,,
26161,E00937,JOHN DEWEY COLLEGE-BAYAMON CAMPUS,"ROAD #2, KM. 15.9, BO. HATO TEJAS",BAYAMON,PR,00959,,,
26162,E00944,VATTEROTT COLLEGE - WICHITA,8853 E. 37TH STREET NORTH,WICHITA,KS,67226,,,
26163,E00947,UNITED EDUCATION INSTITUTE - UEI MORROW,1564 SOUTHLAKE PARKWAY,MORROW,GA,30260,,,
26164,E00951,VIRGINIA COLLEGE - HUNTSVILLE,2021 DRAKE AVENUE SW,HUNTSVILLE,AL,35801,,,
26165,E00952,VIRGINIA COLLEGE - JACKSON,4795 I-55 NORTH,JACKSON,MS,39206,,,
26166,E00953,INTERACTIVE LEARNING SYSTEMS,"1078 CITIZENS PARKWAY, SUITE A",MORROW,GA,30260,,,
26167,E00956,VATTEROTT COLLEGE - MEMPHIS,2655 DIVIDEND DRIVE,MEMPHIS,TN,38132,,,
26168,E00958,UTAH COLLEGE OF MASSAGE THERAPY - ARIZON,"1409 W. SOUTHERN AVE, STE 6",TEMPE,AZ,85282,,,
26169,E00960,INTERACTIVE COLLEGE OF TECHNOLOGY,2323 BROWNS BRIDGE ROAD,GAINESVILLE,GA,30501,,,
26170,E00961,TRINITY INTERNATIONAL UNIV-CA,2200 N. GRAND AVE,SANTA ANA,CA,92705,,,
26171,E00970,MILLER - MOTTE TECHNICAL COLLEGE - NORTH,8085 RIVERS AVENUE,N. CHARLESTON,SC,29406,,,
26172,E00978,KAPLAN COLLEGE - BEAUMONT,PARKDALE MALL,BEAUMONT,TX,77706,,,
26173,E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,65 E. WACKER PLACE,CHICAGO,IL,60601,,,
26174,E00985,OHIO CENTER FOR BROADCASTING - COLORADO,1310 WADSWORTH BOULEVARD,LAKEWOOD,CO,80214,,,
26175,E00993,BARRY UNIVERSITY - ORLANDO,6441 EAST COLONIAL DRIVE,ORLANDO,FL,32807,,,
26176,E00994,MIAMI DADE COLLEGE -INTERAMERICAN CAMPUS,627 S.W. 27TH AVENUE,MIAMI,FL,33135,,,
26177,E00996,WEST VIRGINIA JUNIOR COLLEGE,176 THOMPSON DRIVE,BRIDGEPORT,WV,26330,,,
26178,E01000,EVEREST COLLEGE,"STONEMILL CENTER, SUITE 130",VANCOUVER,WA,98684,,,
26179,E01001,CAREER POINT INSTITUTE,3138 S. GARNETT,TULSA,OK,74146,,,
26180,E01002,COMMONWEALTH OF PR DEPT OF EDUC - TROQUE,#150 URB INDUSTRIAL MINILLAS,BAYAMON,PR,00959,,,
26181,E01007,VIRGINIA COLLEGE - MOBILE,"3725 AIRPORT BOULEVARD, SUITE 165",MOBILE,AL,36608,,,
26182,E01008,VIRGINIA COLLEGE - VIRGINIA COLLEGE AT A,6301 EAST HIGHWAY 290,AUSTIN,TX,78723,,,
26183,E01009,KAPLAN COLLEGE - LAREDO,6410 MCPHERSON ROAD,LAREDO,TX,78041,,,
26184,E01010,BAKER COLLEGE-CASS CITY,6677 MAIN STREET,CASS CITY,MI,48726,,,
26185,E01012,PIONEER PACIFIC COLLEGE,1600 MILLRACE DR. #207,EUGENE,OR,97403,,,
